District|block|cluster|school_code|school_name|moi|student_id|gender|dob|mother_tongue|class_section|assessment_name|programme_name|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56
bangalore|bangalore south(banashankari)|konnana kunte|33823|KONANKUNTE|kannada|1631897|male|2007-02-04|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|1|1|1|1|1|0|1|1|1|1|1|0|0|1|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0
bangalore|sumangali seva ashrama|kodihalli|30960|BABASAHEB COLONY 2|kannada|1453624|male|2006-10-28|tamil|Anganwadi Class|Pretest|Anganwadi Assessment|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1
bangalore|bangalore south(banashankari)|konnana kunte|31062|DODDAKAMMANAHALLI|kannada|1630877|male|2009-06-06|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|0|1|1|1|1|0|0|0|1|1|1|0|0|1|0|1|1|1|1|1|1|1|0|0|0|1|1|0|0|1|0|0|1|0|1|1|0|1|0|0|0|1|1|0|0|0|1|1|1|0|0|0
bangalore|bangalore south(banashankari)|konnana kunte|31062|DODDAKAMMANAHALLI|kannada|1630874|male|2006-03-20|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|1|1|1|1|0|0|1|0|1|1|0|0|0|1|0|1|0|0|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|1|1|1|0|0|0|0|0|0|0
bangalore|bangalore south(banashankari)|konnana kunte|31062|DODDAKAMMANAHALLI|kannada|1630872|male|2006-12-08|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|1|1|1|1|1|0|0|1|1|0|0|0|0|1|0|1|1|0|1|1|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|1|0|0|1|0|1|1|1|0|0|0
bangalore|sumangali seva ashrama|kodihalli|30952|JEEVANBHIMANAGAR|kannada|1621655|male|2007-12-20|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|0|0|1|0|0|0|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|0|1|1|1|1|1|0|0|0|0|0|0|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
bangalore|bangalore south(banashankari)|konnana kunte|31062|DODDAKAMMANAHALLI|kannada|1448666|female|2007-09-11|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|0|0|1|1|0|1|1|1|0|1|1|1|1|1|0|0|0|1|1|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1
bangalore|bangalore south(banashankari)|konnana kunte|31062|DODDAKAMMANAHALLI|kannada|1448660|male|2007-10-25|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|1|1|1|1|1|0|1|1|1|1|1|0|0|1|0|1|1|0|0|0|1|1|1|0|0|0|0|0|0|1|0|0|1|0|0|0|1|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0
bangalore|bangalore south(banashankari)|konnana kunte|30377|GOTTIGERE|kannada|1631398|male|2006-03-21|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|0|1|1|1|1|0|1|1|1|1|1|0|1|1|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|1|0|0|0|1|1|1|1|1|1|0|0|0|1|1|0|0|0|0|0
bangalore|bangalore south(banashankari)|konnana kunte|33823|KONANKUNTE|kannada|1443780|male|2005-04-05|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|0|1|1|1|1|1|1|1|1|1|0|0|0|0|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
